---------------------------------------------------------------------------
 
Filename:                 data_trace_20230107_001009.txt
Date / Time:              2023-01-07 00:10:09.375664
 
Number of traced signals: 3
Number of traced samples: 20
 
---------------------------------------------------------------------------
 
 
0, -395, -197, 201, 
1, -391, -199, 154, 
2, -398, -202, 211, 
3, -390, -197, 181, 
4, -393, -198, 207, 
5, -393, -199, 141, 
6, -396, -200, 196, 
7, -396, -198, 147, 
8, -393, -198, 198, 
9, -391, -199, 181, 
10, -393, -198, 190, 
11, -395, -200, 215, 
12, -395, -199, 189, 
13, -395, -194, 199, 
14, -399, -195, 197, 
15, -390, -191, 198, 
16, -396, -180, 199, 
17, -399, -206, 199, 
18, -394, -246, 199, 
19, -397, -199, 198, 
