---------------------------------------------------------------------------
 
Filename:                 data_trace_20230107_001725.txt
Date / Time:              2023-01-07 00:17:25.271933
 
Number of traced signals: 4
Number of traced samples: 40
 
---------------------------------------------------------------------------
 
 
0, -3346101259.85, 0.0, 0.0, 2.0, 
1, -3346101260.18, -394.0, -201.0, 198.0, 
2, -3346101260.57, -395.0, -200.0, 198.0, 
3, -3346101260.97, -392.0, -199.0, 198.0, 
4, -3346101261.46, -393.0, -196.0, 202.0, 
5, -3346101261.8, -397.0, -199.0, 197.0, 
6, -3346101262.15, -391.0, -200.0, 198.0, 
7, -3346101262.48, -396.0, -197.0, 198.0, 
8, -3346101262.81, -393.0, -196.0, 196.0, 
9, -3346101263.26, -422.0, -198.0, 197.0, 
10, -3346101263.62, -403.0, -198.0, 198.0, 
11, -3346101264.01, -393.0, -198.0, 200.0, 
12, -3346101264.36, -407.0, -199.0, 199.0, 
13, -3346101264.78, -410.0, -183.0, 199.0, 
14, -3346101265.14, -490.0, -217.0, 196.0, 
15, -3346101265.49, -376.0, -194.0, 210.0, 
16, -3346101265.95, -424.0, -193.0, 208.0, 
17, -3346101266.45, -393.0, -191.0, 191.0, 
18, -3346101266.77, -408.0, -197.0, 193.0, 
19, -3346101267.06, -415.0, -197.0, 242.0, 
20, -3346101267.43, -371.0, -191.0, 202.0, 
21, -3346101267.81, -388.0, -191.0, 207.0, 
22, -3346101268.19, -438.0, -194.0, 183.0, 
23, -3346101268.52, -409.0, -216.0, 199.0, 
24, -3346101268.88, -397.0, -192.0, 170.0, 
25, -3346101269.28, -426.0, -209.0, 168.0, 
26, -3346101269.66, -406.0, -208.0, 213.0, 
27, -3346101270.11, -353.0, -184.0, 191.0, 
28, -3346101270.47, -354.0, -222.0, 188.0, 
29, -3346101270.74, -388.0, -176.0, 287.0, 
30, -3346101271.55, -396.0, -203.0, 261.0, 
31, -3346101272.06, -396.0, -199.0, 197.0, 
32, -3346101272.41, -397.0, -197.0, 196.0, 
33, -3346101272.77, -394.0, -199.0, 195.0, 
34, -3346101273.12, -395.0, -197.0, 197.0, 
35, -3346101273.45, -394.0, -197.0, 197.0, 
36, -3346101273.78, -395.0, -197.0, 201.0, 
37, -3346101274.1, -395.0, -196.0, 195.0, 
38, -3346101274.43, -396.0, -195.0, 199.0, 
39, -3346101274.79, -390.0, -196.0, 199.0, 
